"","exit","open.x","high.x","low.x","close.x","volume.x","spotPrice.x","return.x","logReturn.x","Date.x","pred.x","index","side.x","open.y","high.y","low.y","close.y","volume.y","spotPrice.y","return.y","logReturn.y","Date.y","pred.y","exit.y","side.y"
"1",6,61.37,61.97,61.37,61.97,0,61.97,0.00977676389115212,0.00972928057301057,2019-01-02,-0.0211238997945932,2,"buy",62.34,63.53,62.34,63.53,0,63.53,0.0190888675008021,0.0189089609392509,2019-01-08,-0.00768455045762416,0,"sell"
"2",7,61.97,62.34,61.97,62.34,0,62.34,0.00597063095045991,0.00595287736517492,2019-01-03,-0.0172207813373288,3,"buy",63.53,64.69,63.53,64.69,0,64.69,0.0182590901936093,0.0180943947774521,2019-01-09,-0.00936801453547072,0,"sell"
"3",8,62.34,62.37,62.34,62.37,0,62.37,0.000481231953801675,0.000481116198840164,2019-01-04,-0.0138707450352681,4,"buy",64.69,64.69,64.44,64.44,0,64.44,-0.00386458494357711,-0.00387207174712048,2019-01-10,-0.0105025479070704,0,"sell"
"4",9,62.37,62.37,62.34,62.34,0,62.34,-0.000481000481000415,-0.000481116198840155,2019-01-07,-0.0104328170995432,5,"buy",64.44,64.44,63.7,63.7,0,63.7,-0.0114835505896957,-0.0115499957306559,2019-01-11,-0.00714329843958448,0,"sell"
"5",12,64.69,64.69,64.44,64.44,0,64.44,-0.00386458494357711,-0.00387207174712048,2019-01-10,-0.0105025479070704,8,"buy",63.96,63.96,63.71,63.71,0,63.71,-0.00390869293308316,-0.00391635183735664,2019-01-16,-0.00294803734529088,0,"sell"
"6",60,67.42,68.27,67.42,68.27,0,68.27,0.0126075348561256,0.0125287216242741,2019-03-20,-0.0195864667798592,56,"buy",66.81,67.43,66.81,67.43,0,67.43,0.00928004789702142,0.00923725280910464,2019-03-26,-0.00451054580646832,0,"sell"
"7",61,68.27,68.27,67.67,67.67,0,67.67,-0.00878863336751123,-0.00882748118605468,2019-03-21,-0.0171107529637632,57,"buy",67.43,67.43,67.24,67.24,0,67.24,-0.00281773691235376,-0.00282171420607593,2019-03-27,-0.00515913492504834,0,"sell"
"8",62,67.67,67.67,66.75,66.75,0,66.75,-0.0135953893896853,-0.0136886529637753,2019-03-22,-0.0111632697163011,58,"buy",67.24,67.24,67.1,67.1,0,67.1,-0.00208209399167159,-0.00208426456277871,2019-03-28,-0.00333380663627235,0,"sell"
"9",105,66.5,67.47,66.5,67.47,0,67.47,0.0145864661654136,0.0144811069775256,2019-05-24,0.0105481205296482,101,"sell",65.33,65.33,61.99,61.99,0,61.99,-0.0511250574008878,-0.0524782671388309,2019-05-31,0.00907778641254861,0,"buy"
"10",110,61.16,61.16,60.46,60.46,0,60.46,-0.0246814002258429,-0.024991092362516,2019-06-03,0.0165846844081272,106,"sell",60.52,62.18,60.52,62.18,0,62.18,0.0274289491077329,0.0270595157104525,2019-06-07,0.00661613001687417,0,"buy"
"11",111,60.46,61.08,60.46,61.08,0,61.08,0.0102547138604034,0.0102024909991196,2019-06-04,0.0171652531674457,107,"sell",62.18,62.18,61.34,61.34,0,61.34,-0.0135091669347056,-0.0136012459445022,2019-06-10,-0.000276333011454896,0,"buy"
"12",112,61.08,61.08,59.53,59.53,0,59.53,-0.0253765553372626,-0.0257040931851329,2019-06-05,0.0109239770662328,108,"sell",61.34,61.45,61.34,61.45,0,61.45,0.00179328333876749,0.00179167732593832,2019-06-11,0.00237448107813396,0,"buy"
"13",113,59.53,60.52,59.53,60.52,0,60.52,0.016630270451873,0.0164935017548565,2019-06-06,0.0130493062142603,109,"sell",61.45,61.45,59.19,59.19,0,59.19,-0.0367778681855168,-0.0374712273094102,2019-06-12,0.00143949995484709,0,"buy"
"14",153,59.96,61.32,59.96,61.32,0,61.32,0.0226817878585723,0.0224283807692164,2019-08-02,0.0119354965429657,149,"sell",55.93,57.04,55.93,57.04,0,57.04,0.0198462363668872,0.0196518672725439,2019-08-08,0.0158861080543232,0,"buy"
"15",157,55.93,57.04,55.93,57.04,0,57.04,0.0198462363668872,0.0196518672725439,2019-08-08,0.0158861080543232,153,"sell",60.92,60.92,59.07,59.07,0,59.07,-0.0303676953381484,-0.0308383467078172,2019-08-14,-0.00759286640093507,0,"buy"
"16",184,67.68,67.68,63.56,63.56,0,63.56,-0.0608747044917258,-0.0628063736294527,2019-09-17,-0.0251674721434989,180,"buy",63.2,63.73,63.2,63.73,0,63.73,0.00838607594936702,0.00835110817339095,2019-09-23,-0.00268502926213079,0,"sell"
